Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
dropped_v1_basic_clean,SVM,0.7933387703782995,0.7909730678241745,0.6973463774948925,0.7410749537553126,0.8602126909954013
dropped_v1_basic_clean,PassiveAggressive,0.7872802881633832,0.7720986135800414,0.7080583058305832,0.7383341934973582,0.8443702714730752
dropped_v1_basic_clean,NeuralNetwork,0.7792008959797017,0.7752039045751581,0.6755241238409555,0.7216578125804574,0.8371495327102805
dropped_v1_basic_clean,LogisticRegression,0.7928337198732488,0.8583462059229987,0.6128555712714128,0.7149445180678244,0.8593253968253968
dropped_v1_basic_clean,MultinomialNB,0.7916538527976711,0.8560451487028498,0.6120619204777621,0.7135786410176502,0.8563807298620383
dropped_v1_basic_clean,KNN,0.7551344677501112,0.8007364070676765,0.5676449787835927,0.6623353391307853,0.7900274439994066
dropped_v2_no_emojis_mentions,SVM,0.7948529307654624,0.7929732854926843,0.6993281471004245,0.743037924393187,0.8611982643524698
dropped_v2_no_emojis_mentions,PassiveAggressive,0.7855962201210309,0.7670701455798421,0.7108297972654409,0.7377175362183793,0.8428849577214063
dropped_v2_no_emojis_mentions,NeuralNetwork,0.7793692461480518,0.7695039605356047,0.685043218607575,0.7247499667652011,0.8326602136181576
dropped_v2_no_emojis_mentions,LogisticRegression,0.7933377792503108,0.8584724088172365,0.6144428728587145,0.7160245375075147,0.8607254116599912
dropped_v2_no_emojis_mentions,MultinomialNB,0.7908125267250583,0.8568059385240445,0.6088881030960238,0.7116908952189379,0.8576138555110518
dropped_v2_no_emojis_mentions,KNN,0.6802564472875658,0.8929401506923975,0.315003928964325,0.4201694302284521,0.726003189437769
dropped_v3_lemmatized,SVM,0.7943487297986878,0.7877389886283488,0.7060694640892661,0.7445057858184968,0.8598121569500073
dropped_v3_lemmatized,PassiveAggressive,0.7849231026270556,0.7649678426125353,0.7120242024202421,0.7374166428871808,0.8416267986945557
dropped_v3_lemmatized,NeuralNetwork,0.7808843976632034,0.7708254173928291,0.6886248624862488,0.7271371363328196,0.8319991470108292
dropped_v3_lemmatized,LogisticRegression,0.7950208561646745,0.850839615616597,0.6275333961967625,0.7220755589811245,0.8618519136626613
dropped_v3_lemmatized,MultinomialNB,0.791149085472046,0.8620438781445475,0.6049222065063649,0.7107579930984999,0.8578298842901646
dropped_v3_lemmatized,KNN,0.6814347568763044,0.895731755971432,0.31500314317146,0.4216616455553663,0.7313417890520695
dropped_v4_stemmed,SVM,0.7945155224801986,0.7844451901656323,0.7116242338519566,0.7460818070344553,0.8631610666073283
dropped_v4_stemmed,PassiveAggressive,0.7835768676391048,0.7648926443850839,0.7076599088480277,0.7350117404224763,0.8408785788458686
dropped_v4_stemmed,NeuralNetwork,0.778696695012927,0.7656044548679104,0.6894130127298445,0.7254359926706845,0.8311915887850467
dropped_v4_stemmed,LogisticRegression,0.792159186482147,0.8347346170520226,0.6366572371522866,0.7221213189561653,0.8636441180833704
dropped_v4_stemmed,MultinomialNB,0.7874470808448941,0.8553546863040001,0.6009555241238409,0.7057923050533051,0.8584761163032191
dropped_v4_stemmed,KNN,0.7292193026423472,0.8666099054555216,0.4355665566556655,0.5739565533262857,0.7686146343272512
dropped_v5_lemma_stem,SVM,0.7931698538510986,0.7825577686043415,0.7100385038503851,0.7443749694033903,0.8625862260792168
dropped_v5_lemma_stem,PassiveAggressive,0.7825677577569924,0.7644394837457704,0.70488370265598,0.7333256050032662,0.8399254561637739
dropped_v5_lemma_stem,NeuralNetwork,0.778023860698377,0.7662236489356055,0.6862462674838913,0.7238954844168356,0.8293001780151313
dropped_v5_lemma_stem,LogisticRegression,0.7903084673479963,0.8323255245132801,0.6338818167531038,0.7194629726262629,0.8631453048509123
dropped_v5_lemma_stem,MultinomialNB,0.7869424551089816,0.8535059392869451,0.6013531353135313,0.7054115332711424,0.8578067052366118
dropped_v5_lemma_stem,KNN,0.7292197274114851,0.865099011854405,0.4359633820524909,0.5742127728487965,0.7676401869158879
dropped_v6_custom_stopwords,SVM,0.7928949704855349,0.7862859503675516,0.7031746031746032,0.7421075804956946,0.8544175252947181
dropped_v6_custom_stopwords,PassiveAggressive,0.7763946683912986,0.7515951128961983,0.7067460317460318,0.7283760800820722,0.840025990903184
dropped_v6_custom_stopwords,NeuralNetwork,0.776730517758319,0.7674242641949024,0.6793650793650793,0.7204645462462004,0.8309737306228534
dropped_v6_custom_stopwords,LogisticRegression,0.7873395567582594,0.8374846326589129,0.619047619047619,0.7114256252243414,0.857211547386986
dropped_v6_custom_stopwords,MultinomialNB,0.7853192129097775,0.8457893366830429,0.6047619047619047,0.7047780284782896,0.8491747888239117
dropped_v6_custom_stopwords,KNN,0.6383242705062419,0.9319551694219356,0.1595238095238095,0.2721173003670814,0.7145224171539961
