Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
dropped_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7854277283629681,0.7514259447285092,0.739002043061449,0.7449182056192744,0.8587431390001483
dropped_v10_lemma_stem_custom_stopwords,LogisticRegression,0.7881214726462835,0.7748716047190355,0.7060773220179161,0.7386385703843649,0.8576138555110517
dropped_v10_lemma_stem_custom_stopwords,NeuralNetwork,0.7891301577592579,0.7862502034600156,0.691005029074336,0.7353449955709501,0.8539738169411066
dropped_v10_lemma_stem_custom_stopwords,SVM,0.7911503597794598,0.8047030538793848,0.6707716485934307,0.7314929388971994,0.843252113929684
dropped_v10_lemma_stem_custom_stopwords,MultinomialNB,0.7887951564991094,0.8227189422452474,0.6402294515165802,0.7199387459563344,0.8523253226524256
dropped_v10_lemma_stem_custom_stopwords,KNN,0.7605208235990406,0.8460921918856743,0.5343061449002043,0.6537616529206896,0.804241766800178
dropped_v1_basic_clean,PassiveAggressive,0.7898029920738079,0.7636207197776933,0.7318552569542669,0.747055834732983,0.860009642486278
dropped_v1_basic_clean,SVM,0.7933387703782995,0.7909730678241745,0.6973463774948925,0.7410749537553126,0.8602126909954013
dropped_v1_basic_clean,LogisticRegression,0.7936751875355743,0.7927005299373233,0.6961574728901463,0.7410450831502742,0.8568313306631065
dropped_v1_basic_clean,NeuralNetwork,0.7903084673479963,0.8007893807985228,0.6735439258211535,0.7312653533970357,0.85197670968699
dropped_v1_basic_clean,MultinomialNB,0.7903079009891457,0.8268900429466883,0.6398310545340248,0.7212669987644632,0.8546246847648716
dropped_v1_basic_clean,KNN,0.7675901147726211,0.7996842290118036,0.6057237152286656,0.6883757519429315,0.8149013499480788
dropped_v2_no_emojis_mentions,PassiveAggressive,0.7894667165062456,0.763640329531083,0.7302655979883703,0.7463321979289709,0.8601246105919003
dropped_v2_no_emojis_mentions,SVM,0.7948529307654624,0.7929732854926843,0.6993281471004245,0.743037924393187,0.8611982643524698
dropped_v2_no_emojis_mentions,LogisticRegression,0.7943477386706992,0.7915389591691115,0.7001194405154801,0.7428238616612505,0.8567645749888739
dropped_v2_no_emojis_mentions,NeuralNetwork,0.7872822704193604,0.7932966451968392,0.6743454345434543,0.728839088106727,0.8531115561489393
dropped_v2_no_emojis_mentions,MultinomialNB,0.7896349250848831,0.8284572189335815,0.6358643721515008,0.7193535274925492,0.8551123720516243
dropped_v2_no_emojis_mentions,KNN,0.7532871467690644,0.8464801566438039,0.520851799465661,0.6382079102614371,0.7960669781931464
dropped_v3_lemmatized,PassiveAggressive,0.7891310072975338,0.7615605707295989,0.7330433757661481,0.7468103115518584,0.8601032858626316
dropped_v3_lemmatized,SVM,0.7943487297986878,0.7877389886283488,0.7060694640892661,0.7445057858184968,0.8598121569500073
dropped_v3_lemmatized,LogisticRegression,0.793002494810737,0.7858758620507318,0.7048813452773849,0.7429027584765773,0.8580950526628096
dropped_v3_lemmatized,NeuralNetwork,0.7876158557823822,0.7824453890210451,0.6921907905076223,0.7339677304730633,0.8552393932650941
dropped_v3_lemmatized,MultinomialNB,0.7891300161695451,0.8346965829413884,0.6275333961967625,0.7162417511443606,0.8547572689511942
dropped_v3_lemmatized,KNN,0.752612754967675,0.8518745455177819,0.5141041961338991,0.6348454957258842,0.7962143969737427
dropped_v4_stemmed,SVM,0.7945155224801986,0.7844451901656323,0.7116242338519566,0.7460818070344553,0.8631610666073283
dropped_v4_stemmed,PassiveAggressive,0.7874473640243195,0.7601084392522282,0.7294758761590445,0.7442973709789504,0.8626446372941701
dropped_v4_stemmed,LogisticRegression,0.789635774623159,0.7778682252906766,0.7060726072607261,0.7400340534386981,0.8597926865450229
dropped_v4_stemmed,NeuralNetwork,0.7882896812249209,0.7980422803454934,0.6711724029545811,0.7287943445694852,0.8565476190476191
dropped_v4_stemmed,MultinomialNB,0.7899724749598593,0.8307845579495929,0.6342778563570642,0.7192003322062341,0.8557669485239577
dropped_v4_stemmed,KNN,0.7578280704437139,0.8450145393327212,0.5287710199591388,0.6487936130865436,0.7907599020916777
dropped_v5_lemma_stem,PassiveAggressive,0.7877846307198704,0.7604713029520065,0.7298750589344649,0.7446909373909302,0.861800919744845
dropped_v5_lemma_stem,SVM,0.7931698538510986,0.7825577686043415,0.7100385038503851,0.7443749694033903,0.8625862260792168
dropped_v5_lemma_stem,LogisticRegression,0.789972616549572,0.7787530269929966,0.7056773534496308,0.7402257039858466,0.859165924936953
dropped_v5_lemma_stem,NeuralNetwork,0.7808838313043528,0.7730010012267267,0.6878264969354079,0.7261764003032128,0.8530132769618751
dropped_v5_lemma_stem,MultinomialNB,0.7901411083076348,0.830888325049983,0.6346754675467546,0.7194705708990232,0.8551160807001927
dropped_v5_lemma_stem,KNN,0.7571549529497386,0.8442395220964365,0.5275813295615276,0.6476252992760175,0.7908071873609257
dropped_v6_custom_stopwords,SVM,0.7928949704855349,0.7862859503675516,0.7031746031746032,0.7421075804956946,0.8544175252947181
dropped_v6_custom_stopwords,LogisticRegression,0.790033159451862,0.7792618304831043,0.7047619047619048,0.7399236008161195,0.8542652928617842
dropped_v6_custom_stopwords,PassiveAggressive,0.7821189996000443,0.7499210031232643,0.7297619047619047,0.739562265086216,0.8542857142857143
dropped_v6_custom_stopwords,NeuralNetwork,0.7822862151421545,0.7686105212889722,0.6972222222222222,0.7305836439594159,0.849301030353662
dropped_v6_custom_stopwords,MultinomialNB,0.7876755479535598,0.8220130280054901,0.638095238095238,0.7181100980356134,0.8473479996287014
dropped_v6_custom_stopwords,KNN,0.7228502378460255,0.8901505301239585,0.3968253968253968,0.545227823713845,0.7985370834493641
dropped_v7_lowercase_words_only,PassiveAggressive,0.7892983663378954,0.7635631125350694,0.7298687725915449,0.7460804720046318,0.860217326806112
dropped_v7_lowercase_words_only,SVM,0.7948527891757495,0.7927074566179645,0.6997249724972497,0.7431509090869974,0.8613558819166296
dropped_v7_lowercase_words_only,LogisticRegression,0.793842971345074,0.7907157751962754,0.6997234009115197,0.7422437657789789,0.8567794095831479
dropped_v7_lowercase_words_only,NeuralNetwork,0.7889622323600458,0.8067904888188119,0.6624296715385826,0.7265749540263814,0.8451815383474263
dropped_v7_lowercase_words_only,MultinomialNB,0.7898032752532332,0.8288842742973458,0.6358643721515008,0.7195186492327543,0.8551068090787716
dropped_v7_lowercase_words_only,KNN,0.752950446432364,0.8460032614489599,0.5204549740688356,0.6377554639224572,0.7958778371161548
dropped_v8_keep_hashtags,PassiveAggressive,0.7891310072975338,0.7615605707295989,0.7330433757661481,0.7468103115518584,0.8601032858626316
dropped_v8_keep_hashtags,SVM,0.7943487297986878,0.7877389886283488,0.7060694640892661,0.7445057858184968,0.8598121569500073
dropped_v8_keep_hashtags,LogisticRegression,0.793002494810737,0.7858758620507318,0.7048813452773849,0.7429027584765773,0.8580950526628096
dropped_v8_keep_hashtags,NeuralNetwork,0.7876158557823822,0.7824453890210451,0.6921907905076223,0.7339677304730633,0.8552393932650941
dropped_v8_keep_hashtags,MultinomialNB,0.7891300161695451,0.8346965829413884,0.6275333961967625,0.7162417511443606,0.8547572689511942
dropped_v8_keep_hashtags,KNN,0.752612754967675,0.8518745455177819,0.5141041961338991,0.6348454957258842,0.7962143969737427
dropped_v9_minimal_processing,PassiveAggressive,0.789658449136124,0.760766799233745,0.7355083783016189,0.7478514053775654,0.8511101828645689
